time_s,flux_Wb,emf_V,current_A,power_W,cumulative_energy_J
0.0085,-0.24948183,39.93509,3.327924,132.900952,3.156912
0.0086,-0.25335157,37.453503,3.121125,116.897072,3.16923563
0.0087,-0.2569713,34.934953,2.911246,101.704246,3.18000703
0.0088,-0.26033742,32.381927,2.698494,87.382433,3.18931095
0.0089,-0.26344662,29.796944,2.483079,73.988155,3.1972379
0.009,-0.26629582,27.182555,2.265213,61.574273,3.20388383
0.0091,-0.26888223,24.541339,2.045112,50.189779,3.20934977
0.0092,-0.27120329,21.875905,1.822992,39.879602,3.21374137
0.0093,-0.27325669,19.188882,1.599073,30.684432,3.21716855
0.0094,-0.27504043,16.482921,1.373577,22.640558,3.21974502
0.0095,-0.27655274,13.760694,1.146725,15.779726,3.22158784
0.0096,-0.27779212,11.024887,0.918741,10.129011,3.222817
0.0097,-0.27875735,8.2782,0.68985,5.710716,3.22355486
0.0098,-0.27944748,5.523343,0.460279,2.542276,3.22392577
0.0099,-0.27986184,2.763035,0.230253,0.636197,3.2240555
0.01,-0.28,0.0,0.0,0.0,3.22407077
0.0101,-0.27986184,-2.763035,-0.230253,0.636197,3.22409877
0.0102,-0.27944748,-5.523343,-0.460279,2.542276,3.22426661
0.0103,-0.27875735,-8.2782,-0.68985,5.710716,3.22470089
0.0104,-0.27779212,-11.024887,-0.918741,10.129011,3.22552713
0.0105,-0.27655274,-13.760694,-1.146725,15.779726,3.22686929
0.0106,-0.27504043,-16.482921,-1.373577,22.640558,3.22884933
0.0107,-0.27325669,-19.188882,-1.599073,30.684432,3.23158668
0.0108,-0.27120329,-21.875905,-1.822992,39.879602,3.23519776
0.0109,-0.26888223,-24.541339,-2.045112,50.189779,3.23979557
0.011,-0.26629582,-27.182555,-2.265213,61.574273,3.24548919
0.0111,-0.26344662,-29.796944,-2.483079,73.988155,3.25238341
0.0112,-0.26033742,-32.381927,-2.698494,87.382433,3.26057824
0.0113,-0.2569713,-34.934953,-2.911246,101.704246,3.2701686
0.0114,-0.25335157,-37.453503,-3.121125,116.897072,3.28124386
0.0115,-0.24948183,-39.93509,-3.327924,132.900952,3.29388756
0.0116,-0.24536587,-42.377266,-3.531439,149.652726,3.30817704
0.0117,-0.24100777,-44.777622,-3.731468,167.086283,3.32418314
0.0118,-0.23641182,-47.133787,-3.927816,185.13282,3.34196994
0.0119,-0.23158256,-49.443436,-4.120286,203.721116,3.36159447
0.012,-0.22652476,-51.704291,-4.308691,222.777811,3.38310654
0.0121,-0.2212434,-53.91412,-4.492843,242.227697,3.40654847
0.0122,-0.21574371,-56.070743,-4.672562,261.994015,3.431955
0.0123,-0.2100311,-58.17203,-4.847669,281.998756,3.45935309
0.0124,-0.20411122,-60.215908,-5.017992,302.162969,3.48876186
0.0125,-0.1979899,-62.200361,-5.183363,322.407077,3.52019249
0.0126,-0.19167319,-64.12343,-5.343619,342.651185,3.55364816
0.0127,-0.18516732,-65.983216,-5.498601,362.815399,3.58912409
0.0128,-0.17847872,-67.777885,-5.648157,382.820139,3.62660751
0.0129,-0.17161398,-69.505665,-5.792139,402.586457,3.66607772
0.013,-0.16457987,-71.164852,-5.930404,422.036343,3.7075062
0.0131,-0.15738335,-72.753807,-6.062817,441.093038,3.75085669
0.0132,-0.1500315,-74.270963,-6.189247,459.681334,3.79608533
0.0133,-0.1425316,-75.714823,-6.309569,477.727871,3.84314088
0.0134,-0.13489103,-77.083962,-6.423663,495.161428,3.89196486
0.0135,-0.12711734,-78.377027,-6.531419,511.913202,3.94249183
0.0136,-0.1192182,-79.592745,-6.632729,527.917083,3.99464963
0.0137,-0.11120141,-80.729913,-6.727493,543.109909,4.04835964
0.0138,-0.10307487,-81.787411,-6.815618,557.431722,4.10353714
0.0139,-0.09484662,-82.764195,-6.897016,570.826,4.1600916
0.014,-0.08652476,-83.659301,-6.971608,583.239882,4.21792708
0.0141,-0.07811751,-84.471844,-7.03932,594.624376,4.27694256
0.0142,-0.06963317,-85.201025,-7.100085,604.934552,4.33703237
0.0143,-0.06108011,-85.846122,-7.153844,614.129722,4.39808661
0.0144,-0.05246677,-86.406499,-7.200542,622.173596,4.45999156
0.0145,-0.04380165,-86.881604,-7.240134,629.034429,4.52263015
0.0146,-0.03509331,-87.270967,-7.272581,634.685143,4.58588241
